ACT97415.1	ARO:3002999	CblA-1	mixed culture bacterium AX_gF3SD01_15
AAU89706.1	ARO:3002464	LEN-16	Klebsiella pneumoniae
CAJ19607.1	ARO:3002426	OKP-A-9	Klebsiella pneumoniae
AAL78161.1	ARO:3002410	OXY-4-1	Klebsiella oxytoca
ABA06590.1	ARO:3001123	SHV-69	Klebsiella pneumoniae
AAN84550.1	ARO:3002276	VIM-6	Pseudomonas putida
CAJ47138.2	ARO:3001137	SHV-83	Klebsiella pneumoniae
AAR89917.1	ARO:3001812	OXA-54	Shewanella oneidensis
AAG07595.1	ARO:3000809	opmD	Pseudomonas aeruginosa PAO1
CAJ19619.1	ARO:3002443	OKP-B-10	Klebsiella pneumoniae
ABU55430.1	ARO:3002591	AAC(6')-Ib-Suzhou	Enterobacter cloacae
CAA76795.1	ARO:3000893	TEM-22	Klebsiella pneumoniae
AAM92461.1	ARO:3002680	catB8	Salmonella enterica subsp. enterica serovar Typhi
ABA06589.1	ARO:3001122	SHV-67	Klebsiella pneumoniae
BAE15963.1	ARO:3002868	dfrG	Staphylococcus aureus
BAI94487.1	ARO:3001177	SHV-133	Klebsiella pneumoniae
CAC83905.2	ARO:3001612	OXA-51	Acinetobacter baumannii
ACH59002.1	ARO:3002483	LRA-5	uncultured bacterium BLR5
ADI55014.1	ARO:3002801	QnrVC4	Aeromonas caviae
CAA64891.1	ARO:3000812	mtrE	Neisseria gonorrhoeae
ACA34343.1	ARO:3002314	KPC-4	Klebsiella pneumoniae
AAA24786.1	ARO:3000368	vanC	Enterococcus gallinarum
ADM92605.1	ARO:3000553	adeR	Acinetobacter baumannii
ABF47916.1	ARO:3001628	OXA-93	Acinetobacter baumannii
ADK11041.1	ARO:3001954	CTX-M-94	Escherichia coli
ABS12248.1	ARO:3002040	CMY-29	Escherichia coli
AAC46344.1	ARO:3001408	OXA-13	Pseudomonas aeruginosa
AAP43508.1	ARO:3001892	CTX-M-30	Citrobacter freundii
BAQ02518.1	ARO:3003182	NDM-13	Escherichia coli
AHA41504.1	ARO:3002941	vanSO	Rhodococcus hoagii
CAQ42486.1	ARO:3001937	CTX-M-76	Kluyvera ascorbata
AAB19430.2	ARO:3002242	CARB-3	Pseudomonas aeruginosa
CCP44758.1	ARO:3000392	Erm(37)	Mycobacterium tuberculosis H37Rv
AAS98184.1	ARO:3001106	SHV-49	Klebsiella pneumoniae
AET05998.1	ARO:3001399	OXA-4	Pseudomonas aeruginosa
ABI74448.1	ARO:3001018	TEM-151	Escherichia coli
AAR89359.1	ARO:3000990	TEM-128	Escherichia coli
AAA85213.1	ARO:3002866	dfrD	Listeria monocytogenes
ABV31686.1	ARO:3001637	OXA-106	Acinetobacter baumannii
CAH35802.1	ARO:3002983	amrB	Burkholderia pseudomallei K96243
AAB51421.1	ARO:3002686	catP	Clostridium perfringens
CAA31895.1	ARO:3002533	AAC(3)-IIa	Plasmid pWP113a
AFG25462.1	ARO:3002220	IMP-29	Pseudomonas aeruginosa
AAY43207.1	ARO:3002338	GES-9	Pseudomonas aeruginosa
AET05999.1	ARO:3002300	VIM-30	Pseudomonas aeruginosa
CAA28198.1	ARO:3002454	LEN-1	Klebsiella pneumoniae
AAP22974.1	ARO:3002336	GES-7	Escherichia coli
AFD54601.1	ARO:3002764	QnrB49	Citrobacter freundii
APY23677.1	ARO:3001051	TEM-191	Acinetobacter baumannii
AAG03814.1	ARO:3000377	MexA	Pseudomonas aeruginosa PAO1
BAC67143.1	ARO:3000166	tet(B)	Gram-negative bacterium TC71
AAC72341.1	ARO:3000182	tet(Y)	IncQ plasmid pIE1120
AAD12162.1	ARO:3001299	tlrB conferring tylosin resistance	Streptomyces fradiae
AAA19882.1	ARO:3003562	blaF	Mycolicibacterium fortuitum
CAJ98570.1	ARO:3003071	mphF	uncultured bacterium
AAD22144.1	ARO:3002698	cmlB	Klebsiella aerogenes
AAV85982.1	ARO:3000535	macB	Neisseria gonorrhoeae
AFQ23962.1	ARO:3001195	SHV-156	Klebsiella pneumoniae
AEL17198.1	ARO:3001048	TEM-188	Salmonella enterica
CAA63714.1	ARO:3002364	PER-2	Salmonella enterica subsp. enterica serovar Typhimurium
AAL29436.1	ARO:3000951	TEM-84	Escherichia coli
AFV48348.1	ARO:3002324	KPC-14	Klebsiella pneumoniae
ABQ51091.1	ARO:3002039	CMY-28	Escherichia coli
AGJ01153.1	ARO:3002326	KPC-16	Klebsiella pneumoniae
ABV71246.1	ARO:3001633	OXA-79	Acinetobacter baumannii
CAP45902.1	ARO:3002732	QnrB17	Citrobacter freundii
AAB05623.1	ARO:3002932	vanSB	Enterococcus faecalis
ADK34116.1	ARO:3001662	OXA-164	Acinetobacter baumannii
AAA26685.1	ARO:3002542	AAC(3)-VIIIa	Streptomyces fradiae
ACK43806.1	ARO:3002617	aadA17	Aeromonas media
ABY91281.1	ARO:3001930	CTX-M-69	Escherichia coli
CAA73933.1	ARO:3000921	TEM-52	Klebsiella pneumoniae
AAK27847.1	ARO:3002196	IMP-5	Acinetobacter baumannii
AAC60780.1	ARO:3003049	rosB	Yersinia enterocolitica (type O:8)
AAA20116.1	ARO:3000180	tetA(P)	Clostridium perfringens
CAA54602.1	ARO:3002155	FOX-1	Klebsiella pneumoniae
AAF05311.2	ARO:3001872	CTX-M-9	Escherichia coli
AAA25550.1	ARO:3003105	dfrA3	Plasmid pAZ1
ABB59946.1	ARO:3001943	CTX-M-82	Escherichia coli
AIL92328.1	ARO:3003175	CARB-19	Vibrio parahaemolyticus
CDA01504.1	ARO:3002460	LEN-10	Klebsiella variicola CAG:634
AWU66463.1	ARO:3004867	NDM-24	Providencia stuartii
AHY03238.1	ARO:3002789	QnrD2	Salmonella enterica subsp. enterica serovar Hadar
AEP40501.1	ARO:3002969	vanXYN	Enterococcus faecium
CBY80143.1	ARO:3002296	VIM-26	Klebsiella pneumoniae
AAC76296.1	ARO:3000656	acrS	Escherichia coli str. K-12 substr. MG1655
AHL30273.1	ARO:3001572	OXA-386	Acinetobacter baumannii
CAP01453.1	ARO:3001620	OXA-75	Acinetobacter baumannii SDF
ABB71176.1	ARO:3003020	dfrA25	Salmonella enterica subsp. enterica serovar Agona
AAQ16660.2	ARO:3002024	CMY-13	Escherichia coli
CAJ28994.1	ARO:3001822	ACT-2	Enterobacter asburiae
AAL79576.1	ARO:3001096	SHV-38	Klebsiella pneumoniae
ABF50909.1	ARO:3002521	OCH-8	Ochrobactrum anthropi
AIS67768.1	ARO:3003152	SHV-185	Klebsiella pneumoniae
AAT36613.1	ARO:3002281	VIM-11	Pseudomonas aeruginosa
AAV97952.1	ARO:3001909	CTX-M-47	Escherichia coli
CCW43444.1	ARO:3002255	CARB-16	Psychrobacter maritimus
CAC67290.1	ARO:3000962	TEM-95	Escherichia coli
CCJ32595.1	ARO:3001672	OXA-120	Acinetobacter baumannii
AFR46590.1	ARO:3002772	QnrB59	Citrobacter freundii
BAA11237.1	ARO:3000254	emrY	Escherichia coli
AAS19171.1	ARO:3000997	TEM-133	Klebsiella pneumoniae
CAJ77855.1	ARO:3000779	adeH	Acinetobacter baumannii AYE
AAM52207.1	ARO:3000969	TEM-106	Escherichia coli
AAD03491.1	ARO:3002562	AAC(6')-Is	Acinetobacter variabilis
AFU25739.1	ARO:3002351	GES-22	Acinetobacter baumannii
AAD37403.1	ARO:3003202	TLA-1	Escherichia coli
ABV26707.1	ARO:3002850	arr-5	Klebsiella pneumoniae
ABC17629.1	ARO:3002716	QnrB3	Escherichia coli
AAM52215.1	ARO:3000970	TEM-107	Klebsiella pneumoniae
AFK08538.1	ARO:3002084	CMY-71	Citrobacter freundii
AET99223.1	ARO:3001977	CTX-M-117	Escherichia coli
ADM52188.1	ARO:3002743	QnrB28	Citrobacter freundii
AGC50805.1	ARO:3002305	VIM-35	Klebsiella oxytoca
ADY06444.1	ARO:3001783	OXA-163	Enterobacter cloacae
ACE63186.1	ARO:3001702	OXA-133	Acinetobacter radioresistens
AAB05624.1	ARO:3002956	vanYB	Enterococcus faecalis
AAB37395.2	ARO:3001068	SHV-9	Klebsiella pneumoniae
AAQ10694.1	ARO:3003047	qacB	Staphylococcus aureus
AAL27443.1	ARO:3002967	vanXYE	Enterococcus faecalis
AAX51233.1	ARO:3001622	OXA-77	Acinetobacter baumannii
CAJ19616.1	ARO:3002441	OKP-B-8	Klebsiella pneumoniae
ADM61585.1	ARO:3001047	TEM-187	Proteus mirabilis
CAP12355.2	ARO:3002439	OKP-B-6	Klebsiella pneumoniae
ABC88434.1	ARO:3002213	IMP-22	Pseudomonas fluorescens
CAJ47137.2	ARO:3001136	SHV-82	Klebsiella pneumoniae
AAK58418.1	ARO:3001426	OXA-32	Pseudomonas aeruginosa
AAY43008.1	ARO:3001903	CTX-M-41	Proteus mirabilis
CAC95175.1	ARO:3001882	CTX-M-20	Proteus mirabilis
AFM55001.1	ARO:3001691	OXA-228	Acinetobacter bereziniae
AGZ55247.1	ARO:3002814	clbA	Bacillus amyloliquefaciens CC178
ABW76138.1	ARO:3001767	OXA-137	Brachyspira pilosicoli
ABW76134.1	ARO:3001765	OXA-136	Brachyspira pilosicoli
AAA98298.1	ARO:3002545	AAC(6')-Ia	Plasmid R
AAA88422.1	ARO:3002530	AAC(3)-Ib	Pseudomonas aeruginosa
AJO16037.1	ARO:3002170	MIR-5	Enterobacter asburiae
AGL43626.1	ARO:3002777	QnrB65	Citrobacter freundii
CAA66729.1	ARO:3001070	SHV-11	Klebsiella pneumoniae
AAA26684.1	ARO:3002829	vgaA	Staphylococcus aureus
AAL68923.1	ARO:3000973	TEM-110	Klebsiella pneumoniae
AGK90303.1	ARO:3002734	QnrB19	Escherichia coli
CAG28256.1	ARO:3002160	FOX-7	Klebsiella pneumoniae
CAQ03505.1	ARO:3001338	SHV-100	Klebsiella pneumoniae
AAN87151.1	ARO:3002618	aadA21	Salmonella enterica subsp. enterica serovar Typhimurium
AFQ31613.1	ARO:3002357	NDM-7	Escherichia coli
ACV13198.1	ARO:3002290	VIM-20	Pseudomonas aeruginosa
CAB65358.1	ARO:3000939	TEM-73	Proteus mirabilis
CAJ19605.1	ARO:3002424	OKP-A-7	Klebsiella pneumoniae
AAZ14083.2	ARO:3001012	TEM-145	Escherichia coli
CAJ32373.2	ARO:3002262	IND-6	Chryseobacterium indologenes
AFA51700.1	ARO:3001981	CTX-M-122	Escherichia coli
KIX81495.1	ARO:3002813	lmrB	Bacillus subtilis
ACJ59254.1	ARO:3000768	abeS	Acinetobacter baumannii AB307-0294
AEL31272.1	ARO:3002756	QnrB41	Citrobacter freundii
CAJ47130.2	ARO:3001129	SHV-75	Klebsiella pneumoniae
CAA37052.1	ARO:3002995	ROB-1	Mannheimia haemolytica
AAK60186.1	ARO:3003014	dfrA16	Escherichia coli
CAJ19599.1	ARO:3002420	OKP-A-3	Klebsiella pneumoniae
CAA62957.1	ARO:3002013	CMY-2	Klebsiella pneumoniae
CAE53424.1	ARO:3003016	dfrA20	Pasteurella multocida
ACB54703.1	ARO:3002286	VIM-16	Pseudomonas aeruginosa
ABV18113.1	ARO:3001329	mdtG	Escherichia coli O139:H28 str. E24377A
AHL30272.1	ARO:3001571	OXA-385	Acinetobacter baumannii
ABF47919.1	ARO:3001631	OXA-96	Acinetobacter baumannii
ABA00479.1	ARO:3001859	IMI-2	Enterobacter asburiae
AFS44742.1	ARO:3001378	TEM-201	Escherichia coli
AHA11124.1	ARO:3001548	OXA-361	Acinetobacter lwoffii
BAA11236.1	ARO:3000206	emrK	Escherichia coli
AFQ23959.1	ARO:3001192	SHV-153	Klebsiella pneumoniae
AGW16410.1	ARO:3001516	OXA-328	Acinetobacter calcoaceticus
ACQ82812.1	ARO:3002506	PDC-7	Pseudomonas aeruginosa
ABM54868.1	ARO:3002373	VEB-4	Proteus mirabilis
AAT90847.1	ARO:3003557	SFB-1	Shewanella frigidimarina
AEV91550.1	ARO:3001710	OXA-211	Acinetobacter johnsonii
BAM84089.1	ARO:3002358	NDM-8	Escherichia coli
ACO72579.1	ARO:3001801	OXA-147	Pseudomonas aeruginosa
BAC11911.1	ARO:3003551	emeA	Enterococcus faecalis ATCC 29212
AAT75225.1	ARO:3001088	SHV-30	Enterobacter cloacae
AGR55864.1	ARO:3001793	OXA-320	Proteus mirabilis
AAA88675.1	ARO:3000498	ErmF	Bacteroides fragilis
ADQ00385.1	ARO:3002136	DHA-7	Enterobacter cloacae
AAW81339.1	ARO:3001616	OXA-68	Acinetobacter baumannii
ADW54092.1	ARO:3002761	QnrB46	Klebsiella pneumoniae
AAB05626.1	ARO:3002943	vanHB	Enterococcus faecalis
CAI47810.1	ARO:3003110	catB10	Pseudomonas aeruginosa
AEI25539.1	ARO:3002298	VIM-28	Pseudomonas aeruginosa
AAX14802.1	ARO:3000781	adeJ	Acinetobacter baumannii
CAA76794.1	ARO:3000892	TEM-21	Klebsiella pneumoniae
AGW83453.1	ARO:3001542	OXA-355	Acinetobacter bereziniae
CAC14596.1	ARO:3003057	smeF	Stenotrophomonas maltophilia
AGW16414.1	ARO:3001520	OXA-332	Acinetobacter calcoaceticus
BAC76072.1	ARO:3001856	CFE-1	Escherichia coli
CAI43423.1	ARO:3002414	OXY-6-2	Klebsiella oxytoca
BAM34463.1	ARO:3001827	ACT-16	Enterobacter cloacae
AAD19217.1	ARO:3002245	CARB-6	Vibrio cholerae
AET15272.1	ARO:3003197	aadA25	Pasteurella multocida 36950
CAG34107.1	ARO:3002400	OXY-2-5	Klebsiella oxytoca
CAI43414.1	ARO:3002396	OXY-2-1	Klebsiella oxytoca
ABQ47844.1	ARO:3000215	mecR1	Staphylococcus aureus subsp. aureus JH9
AGW83447.1	ARO:3001536	OXA-349	Acinetobacter calcoaceticus
AAK71474.1	ARO:3000956	TEM-89	Proteus mirabilis
BAD08689.1	ARO:3002333	GES-4	Klebsiella pneumoniae
ABS71123.1	ARO:3001440	OXA-115	Acinetobacter baumannii
AAO49597.1	ARO:3002601	aadA	Escherichia coli
BAA07390.1	ARO:3002893	tcr3	Kitasatospora aureofaciens
CAA88265.1	ARO:3002898	SAT-3	Escherichia coli
CAC80727.1	ARO:3000476	tet(31)	Aeromonas salmonicida subsp. salmonicida
AAO82019.1	ARO:3004254	vanVB	Enterococcus faecalis V583
BAE78116.1	ARO:3003576	eptA	Escherichia coli str. K-12 substr. W3110
AAA73865.1	ARO:3002674	Clostridium butyricum catB	Clostridium butyricum
AAA88552.1	ARO:3002541	AAC(3)-VIIa	Streptomyces rimosus
CAL48457.1	ARO:3002857	dfrA26	Escherichia coli
AFQ90085.1	ARO:3001610	OXA-243	Achromobacter xylosoxidans
AEL17179.1	ARO:3001668	OXA-219	Acinetobacter baumannii
AEX99752.1	ARO:3001184	SHV-142	Klebsiella pneumoniae
AGR82311.1	ARO:3002116	CMY-104	Citrobacter sp. OTESBL0707
WP_064190969.1	ARO:3002584	AAC(6')-29b	Pseudomonas aeruginosa
AAN52134.1	ARO:3002275	VIM-5	Klebsiella pneumoniae
ABO64442.1	ARO:3001028	TEM-162	Acinetobacter haemolyticus
AJG06170.1	ARO:3003171	ACT-36	Enterobacter cloacae
ACJ05361.1	ARO:3002054	CMY-43	Escherichia coli
AAC72362.1	ARO:3000882	TEM-10	Morganella morganii
AAR99493.1	ARO:3001896	CTX-M-34	Escherichia coli
AAC45086.2	ARO:3001821	ACT-1	Klebsiella pneumoniae
ABN69105.1	ARO:3001926	CTX-M-65	Escherichia coli
AIT76116.1	ARO:3002177	MIR-12	Enterobacter cloacae
AAG29761.2	ARO:3002259	IND-3	Chryseobacterium indologenes
BAO37256.1	ARO:3001994	CTX-M-137	Escherichia coli
ACA30421.1	ARO:3002038	CMY-27	Escherichia coli
AIT76110.1	ARO:3002239	IMP-48	Pseudomonas aeruginosa
AAB05874.1	ARO:3001410	OXA-15	Pseudomonas aeruginosa
AAG35607.1	ARO:3001420	OXA-25	Acinetobacter baumannii
AAC41391.1	ARO:3002555	AAC(6')-Ih	Acinetobacter baumannii
ADK35875.1	ARO:3001471	OXA-171	Acinetobacter baumannii
ACQ82815.1	ARO:3002509	PDC-10	Pseudomonas aeruginosa
ADR80606.1	ARO:3001157	SHV-108	Klebsiella pneumoniae
ADK55604.1	ARO:3002065	CMY-54	Escherichia coli
AAO85882.1	ARO:3000982	TEM-120	Klebsiella oxytoca
ACJ24509.1	ARO:3002793	QnrS4	Salmonella enterica subsp. enterica serovar Stanley
AFK73434.1	ARO:3002088	CMY-75	Citrobacter freundii
AAL82593.1	ARO:3001095	SHV-37	Klebsiella pneumoniae
AFN65709.1	ARO:3001498	OXA-239	Acinetobacter sp. enrichment culture clone 8407
ADG27454.1	ARO:3001776	OXA-162	Klebsiella pneumoniae
AAB21326.1	ARO:3002651	APH(3')-Vc	Micromonospora chalcea
CAB82578.1	ARO:3002183	MOX-2	Klebsiella pneumoniae
AFA51701.1	ARO:3001982	CTX-M-123	Escherichia coli
AET35493.1	ARO:3001777	OXA-347	uncultured bacterium
AAL27445.1	ARO:3002924	vanRE	Enterococcus faecalis
ABM54869.1	ARO:3001025	TEM-159	Proteus mirabilis
AAD12233.1	ARO:3001417	OXA-22	Ralstonia pickettii
AAV28215.2	ARO:3001902	CTX-M-40	Escherichia coli
AEZ49849.1	ARO:3002079	CMY-66	Citrobacter freundii
CAL64019.1	ARO:3003441	cfrA	Staphylococcus warneri
CBY77552.1	ARO:3003106	Erm(42)	Pasteurella multocida
AGZ20205.1	ARO:3001382	TEM-205	Pseudomonas aeruginosa
AHF20043.1	ARO:3002798	QnrS9	Klebsiella pneumoniae
AIT76096.1	ARO:3001851	ACT-31	Enterobacter cloacae
ADE08533.1	ARO:3001176	SHV-129	Escherichia coli
ADO17948.1	ARO:3001957	CTX-M-98	Escherichia coli
AAB36568.1	ARO:3002700	cmlv	Streptomyces venezuelae ATCC 10712
AIT76093.1	ARO:3002127	CMY-116	Citrobacter freundii
CAA27276.1	ARO:3002661	APH(7'')-Ia	Streptomyces hygroscopicus
CAQ53840.1	ARO:3000853	AIM-1	Pseudomonas aeruginosa
AAV97954.1	ARO:3001911	CTX-M-49	Klebsiella pneumoniae
AHA58207.1	ARO:3001390	TEM-213	Pseudomonas aeruginosa
ADO00942.1	ARO:3003023	dfrB6	uncultured bacterium
CAI30651.2	ARO:3001117	SHV-62	Klebsiella pneumoniae
AAP15294.1	ARO:3002675	catB2	Pasteurella multocida
ABV57756.3	ARO:3001942	CTX-M-81	Klebsiella pneumoniae
AAY33960.1	ARO:3002864	dfrB1	Escherichia coli
ACQ82808.1	ARO:3002500	PDC-3	Pseudomonas aeruginosa
AEL00450.1	ARO:3002747	QnrB32	Citrobacter freundii
CBW46935.1	ARO:3001959	CTX-M-100	Escherichia coli
ACH58988.1	ARO:3002487	LRA-8	uncultured bacterium BLR8
ACA97847.1	ARO:3002044	CMY-33	Escherichia coli
CAA29819.1	ARO:3002877	BcI	Bacillus cereus
AAF72942.1	ARO:3001423	OXA-28	Pseudomonas aeruginosa
AAA65953.1	ARO:3002919	vanRA	Enterococcus faecium
CAJ47127.2	ARO:3001126	SHV-72	Klebsiella pneumoniae
AAC41392.1	ARO:3002557	AAC(6')-Ij	Acinetobacter genomosp. 13
ACS44714.1	ARO:3002340	GES-11	Acinetobacter baumannii
ABX30738.1	ARO:3000621	PC1 beta-lactamase (blaZ)	Staphylococcus aureus subsp. aureus USA300_TCH959
AAA26742.1	ARO:3001304	ErmS	Streptomyces fradiae
AEQ59620.1	ARO:3001052	TEM-192	Klebsiella pneumoniae
AAF04388.1	ARO:3001871	CTX-M-8	Citrobacter amalonaticus
AAD46626.1	ARO:3002596	AAC(6')-IIc	Pseudomonas aeruginosa
BAB72072.1	ARO:3002202	IMP-11	Acinetobacter baumannii
AFH36331.1	ARO:3001678	OXA-237	Acinetobacter baumannii
AYF56302.1	ARO:3004868	NDM-25	Klebsiella pneumoniae
AAD22403.1	ARO:3002970	vanTC	Enterococcus gallinarum
CAD24670.1	ARO:3000900	TEM-30	Escherichia coli
CAZ48628.1	ARO:3002852	arr-7	Pseudomonas aeruginosa
BAD14386.1	ARO:3002573	AAC(6')-Iae	Pseudomonas aeruginosa
ACH58997.1	ARO:3002492	LRA-18	uncultured bacterium BLR18
ACM50952.1	ARO:3002736	QnrB21	Escherichia coli
AAB17891.1	ARO:3003001	CfxA	Bacteroides vulgatus
AAR21614.1	ARO:3002529	AAC(3)-Id	Salmonella enterica subsp. enterica serovar Newport
ACD56151.1	ARO:3002848	arr-3	Escherichia coli
ABX54692.1	ARO:3002938	vanSL	Enterococcus faecalis
ACA30422.1	ARO:3002051	CMY-40	Escherichia coli
AAC44793.1	ARO:3002524	AAC(2')-Ib	Mycolicibacterium fortuitum
AAZ04783.1	ARO:3002710	QnrA4	Shewanella algae
ABS43151.1	ARO:3000784	cmeB	Campylobacter jejuni subsp. doylei 269.97
ABN49114.1	ARO:3001149	SHV-97	Enterococcus faecalis
AHA80958.1	ARO:3001356	SHV-172	Klebsiella pneumoniae
CDN33426.1	ARO:3001394	TEM-217	Enterobacter cloacae
ACL82957.1	ARO:3002928	vanRM	Enterococcus faecium
BAL14456.1	ARO:3000854	SMB-1 beta-lactamase	Serratia marcescens
AAV97953.1	ARO:3001910	CTX-M-48	Klebsiella pneumoniae
ACM91559.1	ARO:3002319	KPC-9	Escherichia coli] Partial
AFK73449.1	ARO:3002093	CMY-80	Citrobacter freundii
ADT70779.1	ARO:3001805	OXA-198	Pseudomonas aeruginosa
CAC17622.1	ARO:3002515	OCH-2	Ochrobactrum anthropi
CAA41038.1	ARO:3000878	TEM-6	Escherichia coli
ACZ54536.1	ARO:3002342	GES-13	Pseudomonas aeruginosa
ABI34705.1	ARO:3001917	CTX-M-55	Escherichia coli
CAA23899.1	ARO:3002683	catI	Escherichia coli
CAA71325.1	ARO:3002156	FOX-2	Escherichia coli
ABW03156.3	ARO:3002721	QnrB7	Enterobacter cloacae
ABS72342.1	ARO:3001151	SHV-102	Escherichia coli
AFK28473.1	ARO:3001485	OXA-207	Acinetobacter pittii
AAL40899.1	ARO:3001101	SHV-43	Klebsiella pneumoniae
ADH95186.1	ARO:3002321	KPC-11	Klebsiella pneumoniae
AAO66446.1	ARO:3001113	SHV-57	Escherichia coli
ABN69070.1	ARO:3002035	CMY-24	Escherichia coli
AAP93848.1	ARO:3002476	LEN-6	Klebsiella pneumoniae
CAC17624.1	ARO:3002517	OCH-4	Ochrobactrum anthropi
AAN28721.1	ARO:3002871	tet37	uncultured bacterium
AIT76089.1	ARO:3002124	CMY-113	Citrobacter freundii
AAA27471.1	ARO:3000205	tetX	Bacteroides fragilis
CAZ39946.1	ARO:3000589	NDM-1	Klebsiella pneumoniae
ACB41775.1	ARO:3002216	IMP-25	Pseudomonas aeruginosa
AGW83448.1	ARO:3001537	OXA-350	Acinetobacter calcoaceticus
AAP22374.1	ARO:3002248	CARB-9	Vibrio cholerae non-O1/non-O139
ADN94685.1	ARO:3002740	QnrB25	Citrobacter freundii
AAU88145.1	ARO:3001764	OXA-63	Brachyspira pilosicoli
AAD03494.1	ARO:3002566	AAC(6')-Iv	Acinetobacter sp. 631
ACV44455.1	ARO:3002404	OXY-2-9	Klebsiella oxytoca
AHA41499.1	ARO:3002948	vanHO	Rhodococcus hoagii
CAG34233.2	ARO:3003019	dfrA23	Salmonella enterica subsp. enterica serovar Typhimurium
AAO53445.1	ARO:3001104	SHV-46	Klebsiella oxytoca
BAM98935.1	ARO:3002234	IMP-43	Pseudomonas aeruginosa
ACA97846.1	ARO:3002043	CMY-32	Escherichia coli
AAG17550.1	ARO:3001073	SHV-14	Klebsiella pneumoniae
CAA82916.1	ARO:3002389	OXY-1-1	Klebsiella oxytoca
BAM38093.1	ARO:3002225	IMP-34	Klebsiella oxytoca
AGW16406.1	ARO:3001512	OXA-324	Acinetobacter calcoaceticus
AAB41059.1	ARO:3002884	iri	Rhodococcus hoagii
ABB97007.1	ARO:3000924	TEM-55	Escherichia coli
BAO79432.1	ARO:3000785	cmeC	Campylobacter jejuni subsp. jejuni
CAD99181.1	ARO:3001893	CTX-M-31	Providencia sp. 4440
ACB41777.1	ARO:3001947	CTX-M-87	Escherichia coli
CCP46182.1	ARO:3003035	mfpA	Mycobacterium tuberculosis H37Rv
AAZ04782.1	ARO:3002709	QnrA3	Shewanella algae
AAP69912.1	ARO:3003100	cphA4	Aeromonas allosaccharophila
AAA20117.1	ARO:3000195	tetB(P)	Clostridium perfringens
AFQ23956.1	ARO:3001189	SHV-150	Klebsiella pneumoniae
CAG25813.2	ARO:3002434	OKP-B-1	Klebsiella pneumoniae
ADA79630.1	ARO:3001037	TEM-171	Escherichia coli
CAB41414.1	ARO:3002836	lnuB	Enterococcus faecium
CCC86795.1	ARO:3001209	mecC	Staphylococcus aureus subsp. aureus LGA251
AAB41956.1	ARO:3000800	MexC	Pseudomonas aeruginosa
AAB41958.1	ARO:3000802	OprJ	Pseudomonas aeruginosa
WP_047028173.1	ARO:3000896	TEM-26	Enterobacteriaceae
AAK31368.1	ARO:3002021	CMY-10	Klebsiella aerogenes
CCA94649.1	ARO:3001488	OXA-216	Acinetobacter baumannii
AAS89983.1	ARO:3000976	TEM-113	Proteus mirabilis
AAF04458.1	ARO:3000850	GOB-1 beta-lactamase	Elizabethkingia meningoseptica
AAC41449.1	ARO:3001398	OXA-3	Pseudomonas aeruginosa
AIT97310.1	ARO:3003166	CTX-M-158	Escherichia coli
AFC60795.1	ARO:3001183	SHV-141	Klebsiella pneumoniae
ABV81082.1	ARO:3001929	CTX-M-68	Klebsiella sp. ARS06-441
AAC75136.1	ARO:3000793	mdtB	Escherichia coli str. K-12 substr. MG1655
ACG70184.1	ARO:3002788	QnrD1	Salmonella enterica subsp. enterica serovar Bovismorbificans
AAM09849.1	ARO:3000005	vanD	Enterococcus faecium
AAF34334.1	ARO:3001078	SHV-20	Klebsiella pneumoniae
ACN32294.1	ARO:3000237	tolC	Escherichia coli
AHE41343.1	ARO:3002768	QnrB55	Raoultella terrigena
AAL29435.1	ARO:3000950	TEM-83	Escherichia coli
AIT76103.1	ARO:3002148	DHA-17	Morganella morganii
AFQ23963.1	ARO:3001196	SHV-157	Klebsiella pneumoniae
AAV80715.1	ARO:3002446	OKP-B-13	Klebsiella pneumoniae
AFQ23967.1	ARO:3001200	SHV-161	Klebsiella pneumoniae
AAV37206.1	ARO:3003096	CfxA5	Parabacteroides distasonis
AEG78825.1	ARO:3002872	FosA3	Escherichia coli
AAA26412.1	ARO:3002642	APH(3')-Ib	Plasmid RP4
CAB92324.1	ARO:3000935	TEM-68	Klebsiella pneumoniae
ACX92987.1	ARO:3002845	vatH	Enterococcus faecium
ADY02546.1	ARO:3001961	CTX-M-102	Escherichia coli
ACJ65711.1	ARO:3002055	CMY-44	Escherichia coli
AAX58682.2	ARO:3002031	CMY-20	Escherichia coli
AAF72530.1	ARO:3001877	CTX-M-14	Escherichia coli
ABX72044.1	ARO:3002728	QnrB14	Citrobacter freundii
AIT76097.1	ARO:3002128	CMY-117	Citrobacter freundii
ACF32746.1	ARO:3001029	TEM-163	Escherichia coli
CDL68900.1	ARO:3002143	DHA-12	Proteus mirabilis
AEM44651.1	ARO:3001968	CTX-M-108	Shigella sp. SH223] Partial
CAG25815.2	ARO:3002419	OKP-A-2	Klebsiella pneumoniae
ACD45467.1	ARO:3001655	OXA-138	Acinetobacter nosocomialis
AAG35608.1	ARO:3001421	OXA-26	Acinetobacter baumannii
AFY16910.1	ARO:3002775	QnrB62	Citrobacter freundii
ADB28891.1	ARO:3001663	OXA-160	Acinetobacter baumannii
ADY19254.1	ARO:3002072	CMY-58	Escherichia coli
ABD60314.1	ARO:3001005	TEM-142	Escherichia coli
BAB56495.1	ARO:3000746	mepR	Staphylococcus aureus subsp. aureus Mu50
